"GROUP_ID","GROUP_NAME","FIRST_DEPT_ID","FIRST_DEPT","SECOND_DEPT_ID","SECOND_DEPT","Z_QUARTER","ACTUAL","TARGET"
"482","网络安全与信息技术装备事业群","95","第一事业部","126","网络数据解析产品线","2","5.765","20"
"402","大数据服务与解决方案事业群","346","第十一事业部","497","科信业务应用产品线","1","2176.27","7500"
"402","大数据服务与解决方案事业群","125","第四事业部","496","网信产品线","1","192.481","3000"
"482","网络安全与信息技术装备事业群","95","第一事业部","#N/A","销售4 ","1","52.528089","0"
"402","大数据服务与解决方案事业群","262","网安事业部","310","实战创新产品线","1","0","600"
"402","大数据服务与解决方案事业群","262","网安事业部","263","WZ平台产品线","3","0","26660"
"482","网络安全与信息技术装备事业群","95","第一事业部","116","分流设备产品线","3","0","7719"
"402","大数据服务与解决方案事业群","262","网安事业部","263","WZ平台产品线","4","0","29240"
"482","网络安全与信息技术装备事业群","95","第一事业部","126","网络数据解析产品线","4","0","34"
"482","网络安全与信息技术装备事业群","322","第七事业部","487","无线产品线","4","0","2720"
"402","大数据服务与解决方案事业群","262","网安事业部","263","WZ平台产品线","2","13717.266","17200"
"402","大数据服务与解决方案事业群","262","网安事业部","#N/A","销售4 ","2","99.3","0"
"402","大数据服务与解决方案事业群","262","网安事业部","500","综合GK产品线","1","0","1500"
"402","大数据服务与解决方案事业群","323","第九事业部","361","CFA产品线","2","0","3000"
"482","网络安全与信息技术装备事业群","483","第十事业部","491","数据交换平台产品线","3","0","1240"
"402","大数据服务与解决方案事业群","262","网安事业部","500","综合GK产品线","4","0","3400"
"402","大数据服务与解决方案事业群","254","第五事业部","414","JSD产品线","4","0","10200"
"402","大数据服务与解决方案事业群","125","第四事业部","496","网信产品线","2","331.54243","4000"
"482","网络安全与信息技术装备事业群","483","第十事业部","491","数据交换平台产品线","2","70","800"
"402","大数据服务与解决方案事业群","346","第十一事业部","497","科信业务应用产品线","2","5723.7","10000"
"482","网络安全与信息技术装备事业群","483","第十事业部","490","态势感知产品线","2","42.4","600"
"402","大数据服务与解决方案事业群","125","第四事业部","496","网信产品线","3","0","6200"
"402","大数据服务与解决方案事业群","122","第二事业部","436","拓展业务产品线","4","0","6800"
"482","网络安全与信息技术装备事业群","483","第十事业部","489","TZ产品线","2","99.71","1000"
"482","网络安全与信息技术装备事业群","322","第七事业部","487","无线产品线","1","134.4875","1200"
"402","大数据服务与解决方案事业群","254","第五事业部","#N/A","销售1","2","0.3","0"
"402","大数据服务与解决方案事业群","323","第九事业部","361","CFA产品线","3","0","4650"
"402","大数据服务与解决方案事业群","346","第十一事业部","497","科信业务应用产品线","3","0","15500"
"482","网络安全与信息技术装备事业群","483","第十事业部","489","TZ产品线","3","0","1550"
"402","大数据服务与解决方案事业群","262","网安事业部","263","WZ平台产品线","1","1206.848","12900"
"482","网络安全与信息技术装备事业群","95","第一事业部","116","分流设备产品线","1","388.5618","3735"
"402","大数据服务与解决方案事业群","262","网安事业部","310","实战创新产品线","2","4000","800"
"482","网络安全与信息技术装备事业群","95","第一事业部","126","网络数据解析产品线","1","0","15"
"402","大数据服务与解决方案事业群","254","第五事业部","414","JSD产品线","2","0","6000"
"402","大数据服务与解决方案事业群","262","网安事业部","310","实战创新产品线","3","0","1240"
"402","大数据服务与解决方案事业群","262","网安事业部","500","综合GK产品线","3","0","3100"
"402","大数据服务与解决方案事业群","262","网安事业部","310","实战创新产品线","4","0","1360"
"482","网络安全与信息技术装备事业群","95","第一事业部","116","分流设备产品线","4","0","8466"
"482","网络安全与信息技术装备事业群","483","第十事业部","489","TZ产品线","4","0","1700"
"402","大数据服务与解决方案事业群","122","第二事业部","436","拓展业务产品线","2","2228.4","4000"
"482","网络安全与信息技术装备事业群","95","第一事业部","116","分流设备产品线","2","829.769642","4980"
"402","大数据服务与解决方案事业群","122","第二事业部","436","拓展业务产品线","1","20","3000"
"482","网络安全与信息技术装备事业群","483","第十事业部","491","数据交换平台产品线","1","112.66","600"
"402","大数据服务与解决方案事业群","122","第二事业部","435","数据业务产品线","2","120.15","4000"
"402","大数据服务与解决方案事业群","122","第二事业部","435","数据业务产品线","1","0","3000"
"402","大数据服务与解决方案事业群","254","第五事业部","414","JSD产品线","1","0","4500"
"402","大数据服务与解决方案事业群","122","第二事业部","435","数据业务产品线","3","0","6200"
"402","大数据服务与解决方案事业群","122","第二事业部","436","拓展业务产品线","3","0","6200"
"482","网络安全与信息技术装备事业群","95","第一事业部","126","网络数据解析产品线","3","0","31"
"482","网络安全与信息技术装备事业群","322","第七事业部","487","无线产品线","3","0","2480"
"402","大数据服务与解决方案事业群","122","第二事业部","435","数据业务产品线","4","0","6800"
"402","大数据服务与解决方案事业群","346","第十一事业部","497","科信业务应用产品线","4","0","17000"
"402","大数据服务与解决方案事业群","125","第四事业部","496","网信产品线","4","0","6800"
"482","网络安全与信息技术装备事业群","483","第十事业部","491","数据交换平台产品线","4","0","1360"
"482","网络安全与信息技术装备事业群","322","第七事业部","487","无线产品线","2","408.7","1600"
"482","网络安全与信息技术装备事业群","483","第十事业部","490","态势感知产品线","1","40.570175","450"
"402","大数据服务与解决方案事业群","323","第九事业部","361","CFA产品线","1","20.66750236","2250"
"482","网络安全与信息技术装备事业群","483","第十事业部","490","态势感知产品线","3","0","930"
"402","大数据服务与解决方案事业群","323","第九事业部","361","CFA产品线","4","0","5100"
"482","网络安全与信息技术装备事业群","483","第十事业部","489","TZ产品线","1","51.29424","750"
"402","大数据服务与解决方案事业群","262","网安事业部","500","综合GK产品线","2","0","2000"
"402","大数据服务与解决方案事业群","254","第五事业部","414","JSD产品线","3","0","9300"
"482","网络安全与信息技术装备事业群","483","第十事业部","490","态势感知产品线","4","0","1020"
