"ID","PRONAME","LXTIME","LX_YEAR","LX_QUARTER","LX_MONTH","YJQDTIME","YJQD_YEAR","YJQD_QUARTER","YJQD_MONTH","JXDATE","GROUP_ID","GROUP_NAME","FIRST_DEPT_ID","FIRST_DEPT","PROVINCE","CITY","PROCODE","ISQIANDAN","CJL","YJHTE","ETL_TIME","BIGDATA","JS_TYPE"
"6805","2019中华人民共和国应急管理部应急管理产品 一期(P20191625.01)","2019/6/5 10:36:14","2019","2","2019-06","2019/7/31","2019","3","2019-07","","402","大数据服务与解决方案事业群","122","第二事业部","北京","西城区","P20191625","0","60","164","2019/8/5 14:02:03","非大数据","预计合同额"
"6806","2019中华人民共和国应急管理部应急管理产品 一期(P20191626.01)","2019/6/5 10:36:23","2019","2","2019-06","2019/7/31","2019","3","2019-07","","402","大数据服务与解决方案事业群","122","第二事业部","北京","西城区","P20191626","0","0","164","2019/8/5 14:02:03","非大数据项目","预计合同额"
"6807","2019黔东南州公安局WZPT一期(P20191628.01)","2019/6/5 12:02:38","2019","2","2019-06","2019/7/5","2019","3","2019-07","","476","代表处","470","贵州代表处","贵州","黔东南苗族侗族自治州","P20191628","0","40","400","2019/8/5 14:02:03","非大数据","预计合同额"
"6808","null(P20191661.01)","2019/6/5 15:07:24","2019","2","2019-06","2019/7/5","2019","3","2019-07","","476","代表处","470","贵州代表处","贵州","黔东南苗族侗族自治州","P20191661","0","40","400","2019/8/5 14:02:03","非大数据","预计合同额"
"6810","2019山南市公安局QZ实验室一期(P20191665.01)","2019/6/5 15:23:06","2019","2","2019-06","2019/7/31","2019","3","2019-07","","476","代表处","475","西藏代表处","西藏","山南地区","P20191665","0","30","56","2019/8/5 14:02:03","非大数据项目","预计合同额"
"6811","2019黔东南州公安局WZPT一期(P20191673.01)","2019/6/5 15:43:45","2019","2","2019-06","2019/7/5","2019","3","2019-07","","476","代表处","470","贵州代表处","贵州","黔东南苗族侗族自治州","P20191673","0","40","400","2019/8/5 14:02:03","非大数据","预计合同额"
"6814","2019遵义市正安县公安局DWC设备一期(P20191676.01)","2019/6/5 11:14:00","2019","2","2019-06","2019/8/29","2019","3","2019-08","","476","代表处","470","贵州代表处","贵州","遵义市","P20191676","0","40","150","2019/8/5 14:02:03","非大数据","预计合同额"
"6817","2019三门县公安局互联网管理综合应用系统一期(P20191687.01)","2019/6/5 21:09:36","2019","2","2019-06","2019/9/30","2019","3","2019-09","","476","代表处","456","浙江代表处","浙江","台州市","P20191687","0","50","190","2019/8/5 14:02:03","WA大数据","预计合同额"
"6820","2019黄岩区公安分局互联网管理综合应用系统一期(P20191691.01)","2019/6/6 21:14:07","2019","2","2019-06","2019/8/15","2019","3","2019-08","","476","代表处","456","浙江代表处","浙江","台州市","P20191691","0","100","48.0163","2019/8/5 14:02:03","WA大数据","预计合同额"
"6822","2019天津市津南区公安局视频大数据综合应用平台一期(P20191693.01)","2019/6/10 16:12:26","2019","2","2019-06","2019/7/31","2019","3","2019-07","","476","代表处","463","天津代表处","天津","津南区","P20191693","0","30","300","2019/8/5 14:02:03","KX大数据","预计合同额"
"6824","2019中国电信集团有限公司北京分公司ATCA型分流设备-10G平台产品一期(P20191697.01)","2019/6/10 16:30:57","2019","2","2019-06","2019/7/31","2019","3","2019-07","","476","代表处","447","北京代表处","北京","东城区","P20191697","0","5","65","2019/8/5 14:02:03","非大数据","预计合同额"
"6829","2019随州市公安局WZPT一期(P20191702.01)","2019/6/11 11:29:48","2019","2","2019-06","2019/7/31","2019","3","2019-07","","476","代表处","445","湖北代表处","湖北","随州市","P20191702","0","70","2000","2019/8/5 14:02:03","WA大数据","预计合同额"
"6837","2019锡林浩特市公安局QZ实验室一期(P20191719.01)","2019/6/12 14:25:21","2019","2","2019-06","2019/8/31","2019","3","2019-08","","476","代表处","449","内蒙代表处","内蒙古","锡林郭勒盟","P20191719","0","80","20","2019/8/5 14:02:03","非大数据项目","预计合同额"
"6838","2019锡盟多伦县公安局QZ实验室一期(P20191720.01)","2019/6/12 14:05:29","2019","2","2019-06","2019/7/31","2019","3","2019-07","","476","代表处","449","内蒙代表处","内蒙古","锡林郭勒盟","P20191720","0","50","65","2019/8/5 14:02:03","非大数据项目","预计合同额"
"6839","2019诺基亚东软通信技术有限公司售后服务五期(P20191721.01)","2019/6/13 11:25:18","2019","2","2019-06","2019/8/16","2019","3","2019-08","","482","网络安全与信息技术装备事业群","95","第一事业部","北京","朝阳区","P20191721","1","100","25","2019/8/5 14:02:03","非大数据项目","预计合同额"
"6843","2019中国移动通信集团西藏有限公司分流平台运维软件一期(P20191728.01)","2019/6/14 10:04:18","2019","2","2019-06","2019/9/30","2019","3","2019-09","","476","代表处","475","西藏代表处","西藏","拉萨市","P20191728","0","30","155","2019/8/5 14:02:03","其他大数据","预计合同额"
"6845","2019武汉光迅科技股份有限公司ATCA型分流设备-100G平台产品三期(P20191731.01)","2019/6/14 12:34:08","2019","2","2019-06","2019/7/29","2019","3","2019-07","","482","网络安全与信息技术装备事业群","95","第一事业部","湖北","武汉市","P20191731","0","90","0.49","2019/8/5 14:02:03","非大数据项目","预计合同额"
"6846","2019东莞市公安局科信大数据治理和服务平台一期(P20191733.01)","2019/6/11 12:26:26","2019","2","2019-06","2019/9/30","2019","3","2019-09","","476","代表处","446","广东代表处","广东","东莞市","P20191733","0","50","900","2019/8/5 14:02:03","KX大数据","预计合同额"
"6847","2019邯郸市公安局TZZC武器一期(P20191736.01)","2019/6/14 20:27:03","2019","2","2019-06","2019/7/31","2019","3","2019-07","","476","代表处","451","河北代表处","河北","邯郸市","P20191736","0","85","30","2019/8/5 14:02:03","非大数据项目","预计合同额"
"6848","2019邯郸市公安局TZZC武器一期(P20191737.01)","2019/6/14 20:27:44","2019","2","2019-06","2019/7/31","2019","3","2019-07","","476","代表处","451","河北代表处","河北","邯郸市","P20191737","0","85","30","2019/8/5 14:02:03","非大数据项目","预计合同额"
"6849","2019新疆生产建设兵团公安局管综平台数据格转软件1.0一期(P20191738.01)","2019/6/14 11:40:16","2019","2","2019-06","2019/9/30","2019","3","2019-09","","476","代表处","457","新疆代表处","新疆","乌鲁木齐市","P20191738","0","60","450","2019/8/5 14:02:03","WA大数据","预计合同额"
"6855","2019北京启普艾兰电子有限公司非锐安产品二期(P20191745.01)","2019/6/16 22:43:00","2019","2","2019-06","2019/7/31","2019","3","2019-07","","482","网络安全与信息技术装备事业群","95","第一事业部","北京","海淀区","P20191745","1","80","1.2","2019/8/5 14:02:03","非大数据","预计合同额"
"6861","2019湛江市公安局ATCA型分流设备-100G平台产品,ATCA型分流设备-10G平台产品一期(P20191759.01)","2019/6/16 16:05:46","2019","2","2019-06","2019/9/28","2019","3","2019-09","","476","代表处","446","广东代表处","广东","湛江市","P20191759","0","80","1800","2019/8/5 14:02:03","非大数据项目","预计合同额"
"6863","2019重庆市奉节县公安局ZC装备一期(P20191764.01)","2019/6/18 9:27:40","2019","2","2019-06","2019/7/19","2019","3","2019-07","","476","代表处","462","重庆代表处","重庆","奉节县","P20191764","0","0","46.6","2019/8/5 14:02:03","非大数据项目","预计合同额"
"6866","2019西安铁路公安局铁路公安WZPT一期(P20191768.01)","2019/6/17 15:05:34","2019","2","2019-06","2019/9/30","2019","3","2019-09","","476","代表处","450","陕西代表处","陕西","西安市","P20191768","0","1","135","2019/8/5 14:02:03","WA大数据","预计合同额"
"6867","2019稻城县公安局科信大数据治理和服务平台一期(P20191769.01)","2019/6/17 16:57:19","2019","2","2019-06","2019/8/30","2019","3","2019-08","","476","代表处","455","四川代表处","四川","甘孜藏族自治州","P20191769","0","50","280","2019/8/5 14:02:03","雪亮工程","预计合同额"
