GPS纬度,GPS经度,谷歌地图纬度,谷歌地图经度,百度纬度,百度经度,地址,邮编,关键词
29.0812684354,119.6423061308,29.0782820152,119.6469946322,29.08464,119.653441,浙江省金华市婺城区双龙南街801号,-,浙江省 金华市
28.6588885244,121.4165747076,28.6559464981,121.4210057169,28.662193,121.427432,浙江省台州市椒江区白云山中路233号,-,浙江省 台州市
27.9981141016,120.6959524539,27.9948269205,120.6999972251,28.001086,120.706479,浙江省温州市鹿城区一号横街后,-,浙江省 温州市
28.4709210157,119.9185839068,28.4675162385,119.9229827296,28.473278,119.929571,浙江省丽水市莲都区花园路,-,浙江省 丽水市
31.8223053535,117.2214978776,31.8203227332,117.2269856772,31.826578,117.233441,安徽省合肥市蜀山区东流路100号,-,安徽省 合肥市
33.6477441219,116.9586334984,33.6461633043,116.9639818232,33.652096,116.970543,安徽省宿州市埇桥区银河一路506,-,安徽省 宿州市
33.9571632701,116.7925960572,33.9557616984,116.7980033906,33.961657,116.804536,安徽省淮北市相山区,-,安徽省 淮北市
32.8917950084,115.8085994105,32.8898267071,115.8139906505,32.896062,115.820434,安徽省阜阳市颍州区清河东路497号,-,安徽省 阜阳市
32.9173205999,117.3831130596,32.9156184289,117.3889549108,32.921523,117.395514,安徽省蚌埠市蚌山区东海大道3115,-,安徽省 蚌埠市
32.6275548189,116.994557822,32.6254946999,116.999959791,32.631847,117.006386,安徽省淮南市田家庵区洞山中路9号,-,安徽省 淮南市
32.2570033658,118.3275663416,32.2550164282,118.332973675,32.261271,118.339408,安徽省滁州市琅琊区,-,安徽省 滁州市
31.6725732294,118.5017809626,31.6706193504,118.5070005413,31.676265,118.513581,安徽省马鞍山市雨山区太白大道2008,-,安徽省 马鞍山市
31.3540265172,118.4276162313,31.3521896171,118.4330074714,31.358537,118.439435,安徽省芜湖市鸠江区政通路66,-,安徽省 芜湖市
30.9474194063,117.8066677928,30.9451466764,117.812021482,30.951233,117.818481,安徽省铜陵市铜陵县湖东路666号,-,安徽省 铜陵市
30.5275995267,117.05158179,30.5252799012,117.056983759,30.530957,117.063608,安徽省安庆市迎江区市府路2号,-,安徽省 安庆市
29.7181911895,118.3337589924,29.715791892,118.3389571135,29.721889,118.345436,安徽省黄山市屯溪区长干路108号,-,安徽省 黄山市
31.7371744595,116.5149152454,31.7351260372,116.5200060782,31.741452,116.526412,安徽省六安市金安区,-,安徽省 六安市
31.6255025002,117.8837495055,31.6233511607,117.8889851775,31.629003,117.895573,安徽省合肥市巢湖市姥山路,-,安徽省 巢湖市
30.6669913127,117.4865172553,30.66465658,117.4920050549,30.670885,117.498424,安徽省池州市贵池区百牙中路1号,-,安徽省 池州市
30.9429022883,118.75389627,30.9406939686,118.7590139248,30.946601,118.765537,安徽省宣城市宣州区鳌峰中路49号,-,安徽省 宣城市
26.0772776987,119.2922121622,26.0741554513,119.2969918587,26.080429,119.30347,福建省福州市鼓楼区乌山路92号,-,福建省 福州市
26.6449537883,118.1728718038,26.6416838794,118.1778875347,26.647772,118.18437,福建省南平市延平区八一路439号,-,福建省 南平市
26.2674072991,117.6340712119,26.2639774533,117.6389581967,26.269736,117.645521,福建省三明市梅列区东新二路,-,福建省 三明市
25.4567595782,119.0032712608,25.4539406539,119.0079597622,25.459865,119.014521,福建省莆田市城厢区荔城大道216号,-,福建省 莆田市
24.8765183854,118.6714571592,24.8735935534,118.6759793637,24.879952,118.682444,福建省泉州市丰泽区海星街,-,福建省 泉州市
24.4817973305,118.0849969942,24.4791464847,118.0899698097,24.485408,118.096435,福建省厦门市思明区湖滨北路61号,-,福建省 厦门市
24.5161570788,117.6422290471,24.5131603327,117.6469926503,24.51893,117.653579,福建省漳州市芗城区胜利西路120号,-,福建省 漳州市
25.0777428256,117.0121487328,25.0749539325,117.0169713446,25.08122,117.023445,福建省龙岩市新罗区龙岩大道1号,-,福建省 龙岩市
26.6696089972,119.5434020736,26.6661479085,119.5480154731,26.672242,119.55451,福建省宁德市蕉城区闽东中路35号,-,福建省 宁德市
28.6870946488,115.8530707077,28.6837958113,115.8579952435,28.689455,115.864585,江西省南昌市东湖区新府路152号,-,江西省 南昌市
